Date,HomeTeam,AwayTeam,FTHG,FTAG,HR,AR,BbMxH,BbMxA,BbAHh,BbMxAHH,BbMxAHA
20/09/05,Dortmund,Bielefeld,2,0,0,0,1.62,6.99,-1,2.11,1.86
20/09/05,Ein Frankfurt,Bayern Munich,0,1,0,0,7.5,1.55,1,1.99,1.95
20/09/05,Hannover,Wolfsburg,2,4,0,0,2.2,3.4,-0.25,1.91,2.06
20/09/05,M'gladbach,Werder Bremen,2,1,0,0,3.75,2.25,0.25,2.07,1.93
21/09/05,Hertha,Duisburg,3,2,0,0,1.44,9.1,-1.25,1.89,2.07
21/09/05,Kaiserslautern,Mainz,0,2,1,0,1.8,5.8,-0.75,2.11,1.85
21/09/05,Leverkusen,FC Koln,2,1,1,1,1.7,5.8,-0.75,1.88,2.06
21/09/05,Nurnberg,Schalke 04,1,1,0,1,4,2,0.5,1.95,2.02
21/09/05,Stuttgart,Hamburg,1,2,0,0,2.3,3.4,-0.25,1.93,2.02
24/09/05,Bielefeld,M'gladbach,0,2,0,0,2.5,3,0,1.79,2.21
24/09/05,Duisburg,Nurnberg,1,0,0,1,2.25,3.3,-0.25,1.95,2
24/09/05,Hamburg,Bayern Munich,2,0,0,0,3.55,2.2,0.25,2.05,1.96
24/09/05,Mainz,Dortmund,1,1,0,0,3.2,2.35,0.25,1.87,2.1
24/09/05,Schalke 04,Hannover,2,0,0,0,1.6,7.9,-1,2,1.98
24/09/05,Werder Bremen,Leverkusen,2,1,0,0,1.87,4.7,-0.5,1.89,2.09
24/09/05,Wolfsburg,Ein Frankfurt,1,0,0,0,1.7,5.55,-0.75,1.95,2
25/09/05,FC Koln,Hertha,0,1,0,0,2.85,2.63,0,2.1,1.93
25/09/05,Stuttgart,Kaiserslautern,1,0,0,0,1.71,5.7,-0.75,1.95,2.02
01/10/05,Bayern Munich,Wolfsburg,2,0,0,0,1.35,11.5,-1.25,1.9,2.05
01/10/05,Ein Frankfurt,Schalke 04,0,1,0,0,4.1,2.1,0.5,1.94,2.06
01/10/05,Hannover,Duisburg,1,1,0,0,1.9,4.75,-0.5,1.86,2.12
01/10/05,Hertha,Werder Bremen,1,2,0,0,2.35,3.2,-0.25,2.02,1.93
01/10/05,Leverkusen,Bielefeld,1,1,0,0,1.53,8.5,-1.25,2.05,1.92
01/10/05,M'gladbach,Mainz,1,0,0,0,1.73,5.91,-0.75,1.93,2.01
01/10/05,Nurnberg,FC Koln,2,1,0,0,2.35,3.3,-0.25,2.02,1.95
02/10/05,Dortmund,Stuttgart,0,0,0,1,2.37,3.3,-0.25,2.1,1.85
02/10/05,Kaiserslautern,Hamburg,0,3,1,0,3.35,2.3,0.25,1.92,2.06
15/10/05,Bielefeld,Hertha,3,0,0,0,3.85,2.2,0.25,2.17,1.8
16/10/05,Duisburg,Ein Frankfurt,0,1,0,0,2.1,3.8,-0.5,2.19,1.88
16/10/05,FC Koln,Hannover,1,4,0,0,2.15,3.6,-0.25,1.9,2.04
15/10/05,Hamburg,Wolfsburg,0,1,1,1,1.67,6.5,-0.75,1.93,2.07
15/10/05,Kaiserslautern,Dortmund,3,3,0,0,2.67,2.7,0,2,2.05
15/10/05,Mainz,Leverkusen,3,1,0,0,3.2,2.33,0.25,1.98,2.17
15/10/05,Schalke 04,Bayern Munich,1,1,0,1,2.63,2.8,0,1.93,2.1
15/10/05,Stuttgart,M'gladbach,1,1,0,0,1.93,4.4,-0.5,1.97,2.04
15/10/05,Werder Bremen,Nurnberg,6,2,0,0,1.4,10.67,-1.5,2.04,1.92
22/10/05,Bayern Munich,Duisburg,4,0,0,0,1.2,20,-1.75,1.88,2.17
22/10/05,Ein Frankfurt,FC Koln,6,3,0,0,2.3,3.6,-0.25,1.96,2.03
22/10/05,Hannover,Werder Bremen,0,0,0,1,3.58,2.2,0.25,2.11,1.86
22/10/05,Hertha,Mainz,3,1,0,0,1.52,8,-1,1.9,2.08
22/10/05,M'gladbach,Kaiserslautern,4,1,0,0,1.85,4.85,-0.5,1.92,2.18
22/10/05,Nurnberg,Bielefeld,2,3,0,0,2.16,3.7,-0.5,2.11,1.9
22/10/05,Wolfsburg,Schalke 04,0,0,0,0,2.7,2.8,0,2.08,2.02
23/10/05,Dortmund,Hamburg,1,1,0,0,2.6,2.95,0,1.84,2.18
23/10/05,Leverkusen,Stuttgart,1,1,0,0,2.15,3.75,-0.5,2.1,1.87
29/10/05,Dortmund,M'gladbach,2,1,0,0,2.1,4.18,-0.5,2.01,1.96
29/10/05,Duisburg,Wolfsburg,1,0,0,0,2.91,2.55,0,2.23,1.83
29/10/05,FC Koln,Bayern Munich,1,2,0,0,7.5,1.57,1,2.02,1.94
29/10/05,Hamburg,Schalke 04,1,0,0,1,2.4,3.3,-0.25,2.1,1.93
29/10/05,Kaiserslautern,Leverkusen,2,2,0,0,2.8,2.6,0,2.15,1.85
29/10/05,Stuttgart,Hertha,3,3,0,0,2.45,3.3,-0.25,2.06,1.9
29/10/05,Werder Bremen,Ein Frankfurt,4,1,0,0,1.45,9,-1.25,2.05,1.94
30/10/05,Bielefeld,Hannover,4,1,0,0,2.31,3.3,-0.25,2.02,1.94
30/10/05,Mainz,Nurnberg,4,1,0,0,2.1,4.05,-0.5,2.09,1.9
05/11/05,Bayern Munich,Werder Bremen,3,1,0,0,1.8,5.5,-0.75,2.06,1.96
05/11/05,Ein Frankfurt,Bielefeld,3,0,0,0,2.15,4,-0.5,2.14,1.88
05/11/05,Hannover,Mainz,2,2,0,0,2,4.6,-0.5,2.08,2.05
05/11/05,Hertha,Kaiserslautern,3,0,0,0,1.55,8.15,-1,2.02,2.17
05/11/05,Leverkusen,Dortmund,2,1,0,0,2.25,3.6,-0.25,1.84,2.13
05/11/05,Schalke 04,Duisburg,3,0,0,0,1.4,10.4,-1.25,1.81,2.17
05/11/05,Wolfsburg,FC Koln,1,1,1,0,1.7,6.2,-0.75,2.04,1.95
06/11/05,M'gladbach,Hamburg,0,0,0,0,2.7,2.9,0,1.87,2.09
06/11/05,Nurnberg,Stuttgart,0,1,0,0,3.2,2.55,0.25,1.85,2.23
19/11/05,Bielefeld,Bayern Munich,1,2,0,0,7.1,1.6,1,1.95,2.01
19/11/05,Dortmund,Hertha,2,0,0,0,2.65,3.1,0,1.98,1.98
19/11/05,FC Koln,Schalke 04,2,2,0,0,3.8,2.15,0.5,1.83,2.15
19/11/05,Kaiserslautern,Nurnberg,1,3,0,0,2,4,-0.5,2.07,1.9
19/11/05,Mainz,Ein Frankfurt,2,2,0,0,2.2,3.9,-0.5,2.13,1.84
19/11/05,M'gladbach,Leverkusen,1,1,0,0,2.42,3.2,-0.25,2.11,1.86
19/11/05,Werder Bremen,Wolfsburg,6,1,0,0,1.56,7.25,-1,1.9,2.12
20/11/05,Hamburg,Duisburg,2,0,0,0,1.36,12,-1.5,1.97,1.98
20/11/05,Stuttgart,Hannover,2,2,0,0,1.8,5.1,-0.5,1.82,2.21
26/11/05,Bayern Munich,Mainz,2,1,0,0,1.22,18.81,-1.75,2.04,2.05
26/11/05,Hannover,Kaiserslautern,5,1,0,0,1.85,5.65,-0.75,1.98,2.08
26/11/05,Leverkusen,Hamburg,0,1,0,0,2.4,3.25,-0.25,2,1.97
26/11/05,Nurnberg,Dortmund,1,2,0,0,3,2.55,0,2.1,1.87
26/11/05,Schalke 04,Werder Bremen,2,1,0,1,2.25,4,-0.25,1.86,2.13
26/11/05,Wolfsburg,Bielefeld,0,0,0,0,1.8,5.25,-0.75,2.15,1.85
27/11/05,Ein Frankfurt,Stuttgart,1,1,0,0,2.68,2.8,0,2.08,1.93
27/11/05,Hertha,M'gladbach,2,2,0,0,1.8,5.66,-0.75,1.95,2
03/12/05,Bielefeld,Schalke 04,0,1,0,0,3.65,2.25,0.25,2.05,1.95
03/12/05,Dortmund,Hannover,0,2,0,0,1.85,5,-0.5,1.85,2.11
03/12/05,Hamburg,FC Koln,3,1,0,0,1.45,10.07,-1.5,2.13,1.84
03/12/05,M'gladbach,Nurnberg,0,1,0,1,1.7,6,-0.75,1.91,2.07
03/12/05,Stuttgart,Bayern Munich,0,0,0,1,4.65,2,0.5,2.05,2.1
03/12/05,Werder Bremen,Duisburg,2,0,0,0,1.28,13,-1.5,1.9,2.25
04/12/05,Leverkusen,Hertha,1,2,0,0,2.3,3.35,-0.25,1.99,1.97
04/12/05,Mainz,Wolfsburg,5,1,0,1,2.25,4.1,-0.25,1.84,2.17
06/12/05,Duisburg,FC Koln,1,1,0,1,2.47,3.3,-0.25,2.18,1.85
10/12/05,Duisburg,Bielefeld,1,1,1,0,2.55,3,0,1.86,2.08
10/12/05,Ein Frankfurt,Dortmund,2,0,0,1,2.6,2.86,0,1.85,2.15
10/12/05,Hamburg,Hertha,2,1,0,1,2.2,4.05,-0.25,1.87,2.15
10/12/05,Hannover,M'gladbach,1,1,0,0,2.1,4,-0.5,2.09,1.89
10/12/05,Nurnberg,Leverkusen,1,1,0,0,2.8,2.7,0,2.12,1.83
10/12/05,Schalke 04,Mainz,1,0,0,0,1.45,9.3,-1,1.9,2.08
10/12/05,Wolfsburg,Stuttgart,0,1,0,0,2.95,2.7,0,2.15,1.82
11/12/05,Bayern Munich,Kaiserslautern,2,1,0,0,1.18,22.38,-2,2,1.98
11/12/05,FC Koln,Werder Bremen,1,4,0,0,5.2,1.82,0.75,2.06,1.9
14/12/05,Kaiserslautern,Ein Frankfurt,1,2,0,0,3.3,2.8,0,2.35,1.9
17/12/05,Bielefeld,FC Koln,3,2,0,0,2.2,3.85,-0.5,2.2,1.85
17/12/05,Dortmund,Bayern Munich,1,2,1,0,5.7,1.85,0.5,2.2,1.83
17/12/05,Kaiserslautern,Wolfsburg,3,2,0,0,2.9,2.85,0,2.19,1.95
17/12/05,Leverkusen,Hannover,0,0,0,0,2.03,4.3,-0.5,2.05,1.91
17/12/05,Mainz,Duisburg,1,1,0,0,1.67,7.7,-1,1.87,2.12
17/12/05,M'gladbach,Ein Frankfurt,4,3,0,0,2,4.5,-0.5,2,1.95
17/12/05,Stuttgart,Schalke 04,2,0,0,1,2.6,3.1,0,1.8,2.21
18/12/05,Hertha,Nurnberg,1,1,0,0,1.67,7,-0.75,1.96,2.01
18/12/05,Werder Bremen,Hamburg,1,1,0,0,2,4.35,-0.5,1.92,2.05
27/01/06,M'gladbach,Bayern Munich,1,3,0,0,5.25,1.8,0.5,2.12,1.82
28/01/06,Dortmund,Wolfsburg,3,2,0,0,1.8,5.4,-0.75,2.07,1.86
28/01/06,Hertha,Hannover,1,1,0,1,1.85,5.18,-0.5,1.8,2.14
28/01/06,Leverkusen,Ein Frankfurt,2,1,0,0,1.9,4.65,-0.5,1.9,2.05
28/01/06,Mainz,FC Koln,4,2,0,0,2.05,4.1,-0.5,2.09,1.85
28/01/06,Nurnberg,Hamburg,2,1,0,0,3.61,2.27,0.25,1.96,2
28/01/06,Stuttgart,Duisburg,0,1,0,0,1.45,9,-1.25,1.98,1.95
29/01/06,Bielefeld,Werder Bremen,0,1,0,0,4.3,1.92,0.5,2.02,1.95
29/01/06,Kaiserslautern,Schalke 04,0,2,0,0,3.9,2.1,0.5,1.92,2.06
04/02/06,Bayern Munich,Leverkusen,1,0,0,0,1.36,11,-1.25,1.82,2.15
04/02/06,Duisburg,Kaiserslautern,2,2,0,0,2.1,4.05,-0.5,2.1,1.85
04/02/06,Ein Frankfurt,Hertha,1,1,0,1,2.5,3,0,1.8,2.25
04/02/06,FC Koln,Stuttgart,0,0,0,0,3.1,2.4,0.25,1.85,2.11
04/02/06,Hamburg,Bielefeld,2,1,0,0,1.45,9,-1.25,2.08,1.9
04/02/06,Schalke 04,Dortmund,0,0,0,0,1.9,4.8,-0.5,1.88,2.06
04/02/06,Werder Bremen,Mainz,4,2,0,0,1.35,11,-1.25,1.86,2.1
05/02/06,Hannover,Nurnberg,1,1,0,0,1.9,4.65,-0.5,1.88,2.05
05/02/06,Wolfsburg,M'gladbach,2,0,0,0,2.4,3.35,-0.25,2,1.95
07/02/06,Dortmund,Duisburg,2,0,0,1,1.57,7.35,-1,2.02,2
07/02/06,Hertha,Bayern Munich,0,0,0,0,4.6,2,0.5,2.01,2.04
07/02/06,Kaiserslautern,FC Koln,2,2,0,0,2.18,3.71,-0.25,1.86,2.09
07/02/06,Mainz,Bielefeld,1,1,0,0,2,4.01,-0.5,2.03,1.94
08/02/06,Hannover,Hamburg,2,1,0,0,3.1,2.5,0,2.17,1.83
08/02/06,Leverkusen,Wolfsburg,4,0,0,0,1.83,5,-0.5,1.81,2.13
08/02/06,M'gladbach,Schalke 04,0,0,0,0,3.05,2.55,0,2.17,1.8
08/02/06,Nurnberg,Ein Frankfurt,0,1,0,0,2.2,3.75,-0.25,1.9,2.03
08/02/06,Stuttgart,Werder Bremen,0,0,0,0,2.73,2.95,0,1.83,2.13
11/02/06,Bielefeld,Stuttgart,2,1,0,0,2.97,2.6,0,2.1,1.9
11/02/06,Duisburg,M'gladbach,1,1,0,1,2.64,2.85,0,1.92,2.04
11/02/06,Ein Frankfurt,Hannover,0,1,0,0,2.2,3.53,-0.25,1.87,2.1
11/02/06,Hamburg,Mainz,1,0,0,0,1.55,8,-1,2.02,1.9
11/02/06,Schalke 04,Leverkusen,7,4,0,0,1.85,5,-0.5,1.85,2.12
11/02/06,Werder Bremen,Kaiserslautern,0,2,0,0,1.3,14.25,-1.75,1.8,2.14
11/02/06,Wolfsburg,Hertha,1,1,0,2,2.68,2.75,0,1.95,2
12/02/06,Bayern Munich,Nurnberg,2,1,0,0,1.24,17,-1.75,2.09,1.88
12/02/06,FC Koln,Dortmund,0,0,0,0,2.88,2.57,0,2.06,1.9
18/02/06,Dortmund,Werder Bremen,0,1,0,0,2.75,2.75,0,1.95,2
18/02/06,Hannover,Bayern Munich,1,1,0,0,4.6,2.01,0.5,1.95,2.09
18/02/06,Hertha,Schalke 04,1,2,1,1,3,2.7,0,2.2,1.8
18/02/06,Kaiserslautern,Bielefeld,2,0,0,0,2.35,3.6,-0.25,2.08,1.96
18/02/06,Leverkusen,Duisburg,3,2,0,1,1.62,7.2,-1,2,2.06
18/02/06,M'gladbach,FC Koln,2,0,0,1,1.91,4.85,-0.5,2,1.97
18/02/06,Nurnberg,Wolfsburg,1,0,0,0,2.2,3.75,-0.25,1.83,2.12
19/02/06,Ein Frankfurt,Hamburg,1,2,0,0,3.1,2.45,0.25,1.82,2.14
19/02/06,Stuttgart,Mainz,2,1,0,0,1.74,5.65,-0.75,2.05,1.92
25/02/06,Bayern Munich,Ein Frankfurt,5,2,0,0,1.29,14.3,-1.5,1.93,2.04
25/02/06,Bielefeld,Dortmund,1,0,0,0,2.74,2.85,0,1.95,2
25/02/06,FC Koln,Leverkusen,0,3,1,0,2.87,2.55,0,2.15,1.85
25/02/06,Mainz,Kaiserslautern,0,2,0,0,2.2,3.8,-0.5,2.1,1.86
25/02/06,Schalke 04,Nurnberg,2,0,0,1,1.46,8.25,-1.25,2.1,1.85
25/02/06,Werder Bremen,M'gladbach,2,0,0,0,1.5,8.19,-1.25,2.02,1.92
25/02/06,Wolfsburg,Hannover,2,1,0,0,2.5,3.23,-0.25,2.01,1.96
26/02/06,Duisburg,Hertha,2,1,0,1,2.69,2.96,0,1.8,2.19
26/02/06,Hamburg,Stuttgart,0,2,1,0,1.85,5.15,-0.5,1.86,2.07
04/03/06,Bayern Munich,Hamburg,1,2,0,0,1.65,7,-0.75,1.89,2.12
04/03/06,Dortmund,Mainz,1,1,0,0,1.8,5.9,-0.5,1.9,2.12
04/03/06,Hannover,Schalke 04,1,2,0,1,2.84,2.6,0,2.06,1.9
04/03/06,Hertha,FC Koln,2,4,0,0,1.65,6.7,-0.75,1.83,2.1
04/03/06,Leverkusen,Werder Bremen,1,1,0,0,2.75,2.75,0,1.89,2.07
04/03/06,Nurnberg,Duisburg,3,0,0,1,1.96,4.3,-0.5,1.95,2
05/03/06,Ein Frankfurt,Wolfsburg,1,1,0,0,2.05,3.85,-0.5,2.1,1.87
05/03/06,M'gladbach,Bielefeld,2,0,0,0,1.95,4.5,-0.5,1.88,2.07
07/03/06,Kaiserslautern,Stuttgart,1,1,0,0,3.2,2.55,0.25,1.93,2.03
11/03/06,Bielefeld,Leverkusen,1,0,0,0,2.85,2.62,0,2.13,1.85
11/03/06,Duisburg,Hannover,0,0,0,0,2.9,2.8,0,2.1,1.95
11/03/06,FC Koln,Nurnberg,3,4,1,0,2.38,3.4,-0.25,1.95,2
11/03/06,Mainz,M'gladbach,3,0,0,0,2.4,3.5,-0.25,1.92,2.05
11/03/06,Stuttgart,Dortmund,0,0,0,0,1.93,4.65,-0.5,1.96,2.02
11/03/06,Werder Bremen,Hertha,0,3,0,0,1.57,7,-1,2,1.98
11/03/06,Wolfsburg,Bayern Munich,0,0,0,0,5.1,1.85,0.75,1.88,2.05
12/03/06,Hamburg,Kaiserslautern,3,0,0,0,1.57,8,-1,1.9,2.05
12/03/06,Schalke 04,Ein Frankfurt,2,0,0,0,1.45,9.2,-1,1.85,2.11
18/03/06,Dortmund,Kaiserslautern,2,1,0,0,1.8,5.7,-0.75,2.02,2
18/03/06,Ein Frankfurt,Duisburg,5,2,0,1,1.85,5.2,-0.75,2,1.93
18/03/06,Hannover,FC Koln,1,0,0,0,1.77,5.3,-0.75,2,2
18/03/06,Leverkusen,Mainz,1,2,0,0,1.69,6.75,-0.75,1.88,2.07
18/03/06,M'gladbach,Stuttgart,1,1,0,0,2.53,3,0,1.86,2.08
18/03/06,Nurnberg,Werder Bremen,3,1,0,0,3.7,2.25,0.25,2.1,1.95
18/03/06,Wolfsburg,Hamburg,0,1,0,0,3.25,2.3,0.25,1.88,2.04
19/03/06,Bayern Munich,Schalke 04,3,0,0,0,1.75,5.2,-0.75,2.01,1.95
19/03/06,Hertha,Bielefeld,1,0,0,0,1.8,5.6,-0.75,1.96,1.95
25/03/06,Duisburg,Bayern Munich,1,3,0,0,8.6,1.5,1,2.15,1.81
25/03/06,FC Koln,Ein Frankfurt,1,1,1,0,2.5,3.2,0,1.77,2.28
25/03/06,Hamburg,Dortmund,2,4,0,0,1.75,5.65,-0.75,2,1.95
25/03/06,Mainz,Hertha,2,2,0,0,2.63,2.8,0,1.88,2.08
25/03/06,Schalke 04,Wolfsburg,2,2,0,0,1.46,9.15,-1.25,2.05,1.95
25/03/06,Stuttgart,Leverkusen,0,2,0,0,2,4.1,-0.5,2,1.94
25/03/06,Werder Bremen,Hannover,5,0,0,0,1.63,6.17,-0.75,1.81,2.13
26/03/06,Bielefeld,Nurnberg,0,0,0,0,2.3,3.4,-0.25,1.97,1.95
26/03/06,Kaiserslautern,M'gladbach,3,0,0,0,2.38,3.3,-0.25,2.08,1.85
01/04/06,Bayern Munich,FC Koln,2,2,0,0,1.2,23,-2,2,2
01/04/06,Ein Frankfurt,Werder Bremen,0,1,0,0,4.12,2,0.5,2.02,2
01/04/06,Hertha,Stuttgart,2,0,0,0,2.3,3.4,-0.25,2,2.02
01/04/06,Leverkusen,Kaiserslautern,5,1,0,0,1.73,6,-0.75,1.81,2.15
01/04/06,M'gladbach,Dortmund,2,1,0,0,2.6,2.95,0,1.94,2.05
01/04/06,Nurnberg,Mainz,3,0,0,0,2,4.25,-0.5,2.05,2
01/04/06,Wolfsburg,Duisburg,1,1,1,0,1.7,6.25,-0.75,1.86,2.17
02/04/06,Hannover,Bielefeld,0,1,0,0,1.95,4.35,-0.5,2,1.96
02/04/06,Schalke 04,Hamburg,0,2,1,0,2.15,4.2,-0.5,2.06,1.96
08/04/06,Bielefeld,Ein Frankfurt,1,0,0,1,2.15,3.75,-0.25,1.88,2.05
08/04/06,Dortmund,Leverkusen,1,2,0,0,2.2,3.6,-0.25,1.92,2.02
08/04/06,FC Koln,Wolfsburg,3,0,0,0,2.4,3.2,-0.25,2.03,1.94
08/04/06,Kaiserslautern,Hertha,0,2,0,0,3,2.5,0,2.12,1.86
08/04/06,Mainz,Hannover,0,0,0,0,2.2,3.65,-0.25,1.88,2.09
08/04/06,Stuttgart,Nurnberg,1,0,0,1,2,4.33,-0.5,2,1.96
08/04/06,Werder Bremen,Bayern Munich,3,0,0,0,2.63,2.75,0,1.87,2.1
09/04/06,Duisburg,Schalke 04,1,1,0,0,4.75,1.91,0.5,2.08,1.91
09/04/06,Hamburg,M'gladbach,2,0,0,0,1.53,7.85,-1,2.3,2.3
15/04/06,Bayern Munich,Bielefeld,2,0,0,0,1.25,17,-1.75,1.95,2
15/04/06,Duisburg,Hamburg,0,2,0,0,5.85,1.75,0.75,2.08,1.9
15/04/06,Ein Frankfurt,Mainz,0,0,0,0,2.15,4,-0.25,1.85,2.13
15/04/06,Hertha,Dortmund,0,0,0,0,2,4.2,-0.5,2,1.93
15/04/06,Leverkusen,M'gladbach,2,1,0,1,1.67,6.5,-1,2,1.96
15/04/06,Schalke 04,FC Koln,1,1,0,0,1.5,8.3,-1.25,1.99,1.96
15/04/06,Wolfsburg,Werder Bremen,1,1,1,0,4.25,2,0.5,1.95,2
16/04/06,Hannover,Stuttgart,3,3,1,0,2.6,3,0,1.87,2.08
16/04/06,Nurnberg,Kaiserslautern,3,2,0,0,1.8,5.33,-0.75,2,1.96
22/04/06,Bielefeld,Wolfsburg,0,1,0,0,2.26,3.6,-0.25,2.05,1.92
22/04/06,Dortmund,Nurnberg,2,1,0,0,1.8,5,-0.5,1.81,2.15
22/04/06,FC Koln,Duisburg,3,1,0,0,1.8,5,-0.75,2,1.94
22/04/06,Hamburg,Leverkusen,0,2,0,0,1.95,4.75,-0.5,2,1.97
22/04/06,Kaiserslautern,Hannover,1,0,0,0,2.15,3.65,-0.25,1.83,2.13
22/04/06,M'gladbach,Hertha,2,2,0,0,2.9,2.65,0,2.18,1.83
22/04/06,Stuttgart,Ein Frankfurt,0,2,0,0,1.8,5.04,-0.75,2.06,1.92
23/04/06,Mainz,Bayern Munich,2,2,0,0,6.2,1.7,0.75,2.05,1.95
23/04/06,Werder Bremen,Schalke 04,0,0,0,0,1.91,4.65,-0.5,1.9,2.06
02/05/06,FC Koln,Hamburg,0,1,0,0,3.2,2.3,0.25,1.96,2.09
02/05/06,Hannover,Dortmund,1,2,0,0,2.66,2.85,0,1.93,2.02
02/05/06,Hertha,Leverkusen,1,5,0,0,2.36,3.25,-0.25,2.11,1.88
02/05/06,Nurnberg,M'gladbach,5,2,0,0,2,4.1,-0.5,2.02,1.9
03/05/06,Bayern Munich,Stuttgart,3,1,0,0,1.4,10,-1.25,1.96,2.02
03/05/06,Duisburg,Werder Bremen,3,5,0,0,7.05,1.55,1,2.06,1.92
03/05/06,Ein Frankfurt,Kaiserslautern,2,2,0,0,2,4,-0.5,2.08,1.9
03/05/06,Schalke 04,Bielefeld,3,1,0,0,1.55,7.85,-1,1.9,2.11
03/05/06,Wolfsburg,Mainz,0,3,0,0,2.25,3.65,-0.25,1.96,2
06/05/06,Bielefeld,Duisburg,0,2,0,0,1.7,5.75,-0.75,1.93,2
06/05/06,Dortmund,Ein Frankfurt,1,1,0,0,1.85,4.75,-0.5,1.77,2.25
06/05/06,Hertha,Hamburg,4,2,1,0,2.75,2.6,0,2.05,1.92
06/05/06,Kaiserslautern,Bayern Munich,1,1,0,0,5.1,1.8,0.75,1.9,2.04
06/05/06,Leverkusen,Nurnberg,2,2,0,0,1.55,7.65,-1,1.83,2.11
06/05/06,Mainz,Schalke 04,1,0,0,0,2.45,3.2,0,1.75,2.33
